subject_id,test_session_number,cumulative_train_trials,opt_sigma_alpha,opt_sigma_beta,out_of_sample_nll,test_trials,avg_nll_per_trial
736198,2,370,0.19532901029450733,0.19000680335953746,212.0360628188665,415,0.5109302718526904
736198,3,785,0.15590097579582468,0.17002588610544295,239.39200209136874,476,0.502924374141531
736198,4,1261,0.19214603797824364,0.19556382365574337,241.56406847953033,484,0.49909931504035193
736198,5,1745,0.19706498578001622,0.1955645659637053,223.93910208737876,376,0.5955827183174967
736198,6,2121,0.19579358364067112,0.1770844287914088,198.68649258019502,478,0.41566211836860883
736198,7,2599,0.19725667069419578,0.19116249111226824,267.9036278757364,493,0.5434150666850637
736198,8,3092,0.1951850770411896,0.13354215902766448,327.9755974640589,510,0.6430894067922724
736198,9,3602,0.19104627674739186,0.14894021877692032,304.87939003050053,515,0.5919988155932049
736198,10,4117,0.19335702672685096,0.18840152529097162,232.9382774034313,468,0.4977313619731438
752014,2,685,0.15205580554203463,0.15831737871747253,236.37689180359104,578,0.4089565602138253
752014,3,1263,0.19125679830452863,0.195861136916817,223.41621222973038,622,0.35919005181628677
752014,4,1885,0.2,0.2,267.4449486043343,601,0.44499991448308535
752014,5,2486,0.18436746418740368,0.17414851267452786,222.1755284769052,621,0.35777057725749634
752014,6,3107,0.19688794193730721,0.18069195708868988,187.43058803138,609,0.3077677964390476
752014,7,3716,0.17455477718094836,0.15642444157885851,198.12617251192816,559,0.35442964671185717
752014,8,4275,0.19589575377874144,0.10439578413811189,129.70377598571955,478,0.27134681168560576
752014,9,4753,0.19157389434210925,0.13599834801011113,147.96791670886404,561,0.2637574272885277
752014,10,5314,0.19661650385424573,0.18969842009886417,68.20857943704954,391,0.17444649472391185
