subject_id,test_session_number,cumulative_train_trials,out_of_sample_nll,test_trials,avg_nll_per_trial
736198,2,370,204.1619981541103,415,0.49195662205809715
736198,3,785,600.5112511647955,476,1.2615782587495703
736198,4,1261,308.3936518694821,484,0.6371769666724837
736198,5,1745,198.60507928804162,376,0.5282049981064937
736198,6,2121,552.1747641280305,478,1.1551773308117792
736198,7,2599,426.2932418230902,493,0.8646921740833473
736198,8,3092,457.43243030660824,510,0.8969263339345259
736198,9,3602,617.5133823582943,515,1.1990551113753287
736198,10,4117,283.89499984675405,468,0.6066132475357993
752014,2,685,1231.4431209502493,578,2.130524430709774
752014,3,1263,297.26936923040927,622,0.4779250309170567
752014,4,1885,391.6458231900518,601,0.6516569437438465
752014,5,2486,1173.873179512891,621,1.8902949750610163
752014,6,3107,646.1460511721717,609,1.0609951579181802
752014,7,3716,240.56328191740465,559,0.4303457637162874
752014,8,4275,459.9828083488112,478,0.9623071304368436
752014,9,4753,482.8332241425716,561,0.8606652836765982
752014,10,5314,224.7507215770554,391,0.5748100296088373
