seed,true_sigma,rec_sigma,err_sigma,true_beta,rec_beta,err_beta,true_alpha,rec_alpha,err_alpha
0,0.1,0.04839578972549874,0.051604210274501267,5.0,8.667558521146658,3.667558521146658,0.3,0.14107332933172112,0.15892667066827887
1,0.1,0.11601388878877927,0.016013888788779268,5.0,4.193499861669346,0.8065001383306543,0.3,0.2932468605225994,0.006753139477400583
2,0.1,0.10152668634631273,0.0015266863463127278,5.0,5.697642820262542,0.6976428202625424,0.3,0.2351135477810295,0.06488645221897049
3,0.1,0.09086128527252438,0.009138714727475628,5.0,6.042529022262819,1.0425290222628192,0.3,0.19749148347116446,0.10250851652883552
4,0.1,0.06615974874501707,0.03384025125498294,5.0,8.763700935360285,3.7637009353602853,0.3,0.16520460982272261,0.13479539017727737
5,0.1,0.10571672256365114,0.005716722563651133,5.0,3.804882333161455,1.195117666838545,0.3,0.24710247290015935,0.052897527099840636
6,0.1,0.08968601639661117,0.010313983603388838,5.0,4.897954641142199,0.10204535885780075,0.3,0.2510099570508496,0.04899004294915038
7,0.1,0.1038182315462321,0.0038182315462320926,5.0,5.336485035977163,0.33648503597716317,0.3,0.20066259790422714,0.09933740209577285
8,0.1,0.07976389467569445,0.02023610532430556,5.0,6.277140148870371,1.2771401488703713,0.3,0.2106128650064475,0.0893871349935525
9,0.1,0.06615974874501707,0.03384025125498294,5.0,8.763700935360285,3.7637009353602853,0.3,0.15443968471417968,0.1455603152858203
10,0.1,0.08320071714444979,0.016799282855550213,5.0,7.2427582810515005,2.2427582810515005,0.3,0.22493897439928645,0.07506102560071354
11,0.1,0.06968579255804896,0.03031420744195104,5.0,8.293003962569037,3.2930039625690366,0.3,0.16826603005227714,0.13173396994772285
12,0.1,0.09974726472633436,0.00025273527366564963,5.0,4.402529221655943,0.5974707783440572,0.3,0.24293722094245052,0.05706277905754947
13,0.1,0.09561572750501834,0.004384272494981661,5.0,4.799195586008303,0.20080441399169668,0.3,0.22188216696463497,0.07811783303536501
14,0.1,0.0823719674340197,0.017628032565980306,5.0,4.660522604739134,0.3394773952608663,0.3,0.2669016610900852,0.033098338909914815
15,0.1,0.06951050749601195,0.030489492503988053,5.0,6.644659820762243,1.644659820762243,0.3,0.19537090963379705,0.10462909036620294
16,0.1,0.04994822374702115,0.05005177625297885,5.0,7.325804725861495,2.325804725861495,0.3,0.17125849102440333,0.12874150897559666
17,0.1,0.07891394939004362,0.021086050609956386,5.0,7.384643788135402,2.384643788135402,0.3,0.2032245247377215,0.09677547526227848
18,0.1,0.08320071714444979,0.016799282855550213,5.0,5.950068378848752,0.9500683788487523,0.3,0.176460919676851,0.12353908032314898
19,0.1,0.07431666443358734,0.02568333556641267,5.0,6.067603486712868,1.0676034867128683,0.3,0.21132945020606625,0.08867054979393374
